Tempo,Resposta
128,1
588,1
948,1
1308,2
1716,3
2128,3
2540,3
2932,2
3348,3
3756,3
4168,4
4580,4
4972,4
5388,3
5796,5
6208,5
6620,4
7012,4
7428,4
7836,5
8248,5
8660,5
9052,5
9468,5
9876,6
10288,6
10868,6
11548,7
12228,8
12908,7
13588,8
14268,9
14948,7
15628,9
16308,9
16988,8
17668,9
18348,11
19100,9
19796,10
20544,11
21308,9
22004,11
22756,11
23520,11
24284,12
25048,11
25816,11
26580,13
27344,10
28108,12
28876,11
29640,11
30404,12
31168,10
31936,11
32700,13
33464,10
34228,12
34996,11
35760,11
36524,12
37288,10
38056,11
38820,13
39584,10
40348,12
41116,11
41880,11
42644,12
43408,10
44176,11
44940,13
45704,10
46468,12
47236,11
48000,11
48764,12
49528,11
50296,11
51060,13
51824,10
52588,12
53356,11
54120,11
54884,12
55648,11
56416,11
57180,13
57944,10
58708,12
59476,11
60240,11
61004,12
61768,10
62536,11
63300,13
64064,10
64828,12
65596,11
66360,11
67124,12
67888,11
68656,11
69420,13
70184,10
70948,12
71716,11
72480,11
73244,12
74008,11
74776,11
75540,13
76304,10
77068,12
77840,11
78600,11
79364,12
80128,10
80900,11
81660,13
82424,10
83188,12
83956,11
84720,11
85484,12
86248,11
87016,12
87780,13
88544,10
89308,12
90076,11
90840,11
91604,12
92368,11
93136,11
93900,13
94664,10
95428,12
96196,11
96960,11
97724,12
98488,11
99256,12
100020,12
100868,11
101720,12
102568,10
103420,12
104268,11
105120,11
105968,12
106820,11
107668,12
108520,11
109368,11
110220,12
111068,11
111920,12
112768,11
113620,12
114468,11
115320,11
116168,12
117020,10
117868,12
118720,11
119568,11
120420,12
121268,10
122120,12
122968,10
123820,12
124668,11
125520,11
126368,12
127220,10
128068,12
128920,11
129768,11
130620,11
131468,11
132320,12
133168,11
134020,12
134868,11
135720,11
136568,12
137420,11
138268,12
139120,11
139968,11
140820,11
141668,11
142520,12
143376,11
144220,12
145068,11
145920,11
146768,12
147620,10
148468,11
149320,11
150168,11
151020,12
151868,11
152720,12
153568,10
154420,12
155268,11
156120,11
156968,12
157820,11
158668,11
159520,11
160368,11
161220,12
162068,11
162920,12
163768,11
164620,12
165468,11
166320,11
167168,12
168020,10
168868,12
169720,11
170568,11
171420,11
172268,11
173120,12
173968,11
174820,12
175668,11
176520,11
177368,12
178220,10
179068,12
179920,11
180768,11
181620,11
182468,11
183320,12
184168,10
185020,11
185868,11
186720,11
187568,12
188424,10
189268,12
190120,11
190968,12
191820,11
192668,11
193520,12
194368,11
195220,12
196068,11
196920,11
197768,12
198620,10
199468,12
200320,11
201168,11
202020,12
202868,11
203720,12
204568,11
205420,12
206268,11
207120,11
207968,12
208820,10
209668,12
210520,11
211368,11
212220,11
213068,11
213920,12
214768,11
215620,12
216468,11
217320,11
218168,12
219020,10
219868,12
220720,11
221568,11
222420,12
223268,11
224120,12
224968,10
225820,12
226668,11
227520,11
228372,12
229220,10
230068,12
230920,11
231768,11
232620,11
233468,11
234320,12
235168,11
236020,12
236868,11
237720,11
238568,12
239420,10
240268,12
241120,11
241968,11
242820,11
243668,11
244520,12
245368,11
246220,12
247068,11
247920,11
248768,12
249620,10
250468,12
251320,11
252168,11
253020,12
253868,11
254720,12
255568,11
256420,11
257268,11
258120,11
258968,12
259820,11
260668,12
261520,11
262368,11
263220,11
264068,11
264920,12
265768,11
266620,12
267468,11
268320,11
269168,12
270020,10
270868,12
271720,11
272568,11
273424,12
274268,11
275120,12
275968,10
276820,12
277668,11
278520,11
279368,12
280220,10
281068,12
281920,11
282768,11
283620,12
284468,11
285320,12
286168,10
287020,11
287868,11
288720,11
289568,12
290420,10
291268,12
292120,11
292968,11
293820,12
294668,11
295520,12
296368,11
297220,12
298068,11
298920,11
299768,12
300620,10
301468,12
302320,11
303168,11
304020,12
304868,11
305720,12
306568,10
307420,12
308268,11
309120,11
309968,12
310820,10
311668,12
312520,11
313368,11
314220,12
315068,11
315920,12
316768,11
317620,12
318476,11
319320,11
320168,12
321020,10
321868,12
322720,11
323568,11
324420,12
325268,11
326120,12
326968,10
327820,12
328668,11
329520,11
330368,12
331220,10
332068,12
332920,11
333768,11
334620,11
335468,11
336320,12
337168,11
338020,12
338868,11
339720,11
340568,12
341420,10
342268,12
343120,11
343968,11
344820,11
345668,11
346520,12
347368,11
348220,12
349068,11
349920,11
350768,12
351620,10
352468,12
353320,11
354168,11
355020,11
355868,11
356720,12
357568,10
358420,11
359268,11
360120,11
360968,12
361820,10
362668,12
363524,11
364368,11
365220,11
366068,11
366920,12
367768,11
368620,12
369468,11
370320,11
371168,12
372020,10
372868,12
373720,11
374568,11
375420,12
376268,11
377120,12
377968,10
378820,12
379668,11
380520,11
381368,12
382220,10
383068,12
383920,11
384768,11
385620,12
386468,11
387320,12
388168,11
389020,12
389868,11
390720,11
391568,12
392420,10
393268,12
394120,11
394968,11
395820,12
396668,11
397520,12
398368,11
399220,12
400068,11
400920,11
401768,12
402620,10
403476,12
404320,11
405168,11
406020,12
406868,11
407720,12
408568,10
409420,12
410268,11
411120,11
411968,12
412820,10
413668,12
414520,11
415368,11
416220,12
417068,11
417920,12
418768,11
419620,12
420468,11
421320,11
422168,12
423020,10
423868,12
424720,11
425568,11
426420,12
427268,11
428120,12
428968,10
429820,11
430668,11
431520,11
432368,12
433220,10
434068,12
434920,11
435768,11
436620,11
437468,11
438320,12
439168,10
440020,12
440868,11
441720,11
442568,12
443420,11
444268,12
445120,11
445968,11
446820,11
447668,11
448524,12
449368,11
450220,11
451068,11
451920,11
452768,12
453620,10
454468,12
455320,11
456168,11
457020,12
457868,11
458720,12
459568,10
460420,12
461268,11
462120,11
462968,12
463820,10
464668,12
465520,11
466368,11
467220,12
468068,11
468920,12
469768,11
470620,12
471468,11
472320,11
473168,12
474020,10
474868,12
475720,11
476568,11
477420,12
478268,11
479120,12
479968,10
480820,12
481668,11
482520,11
483368,12
484220,10
485068,12
485920,11
486768,11
487620,11
488468,11
489320,12
490168,10
491020,12
491868,11
492720,11
493576,12
494420,10
495268,12
496120,11
496968,11
497820,11
498668,11
499520,12
500368,11
501220,12
502068,11
502920,11
503768,13
504620,10
505468,12
506320,11
507168,12
508020,12
508868,11
509720,12
510568,10
511420,12
512268,11
513120,11
513968,12
514820,11
515668,12
516520,11
517368,11
518220,12
519068,11
519920,12
520768,11
521620,12
522468,11
523320,11
524168,12
525020,10
525868,12
526720,11
527568,11
528420,11
529268,11
