Tempo,Entrada,Erro,Saida
548,41.50,750.00,1.00
8228,50.45,749.00,2.00
15804,59.40,748.00,2.00
23428,68.38,748.00,3.00
31060,77.32,747.00,4.00
38692,86.24,746.00,5.00
46332,95.14,745.00,6.00
53964,104.04,744.00,8.00
61652,112.87,742.00,10.00
69388,121.67,740.00,11.00
77132,130.51,739.00,10.00
84868,139.44,740.00,11.00
92612,148.28,739.00,12.00
100348,157.10,738.00,12.00
108140,165.97,738.00,12.00
115932,174.84,738.00,12.00
123724,183.71,738.00,11.00
131524,192.63,739.00,12.00
139316,201.45,738.00,13.00
147108,210.27,737.00,13.00
154908,219.12,737.00,13.00
162700,227.98,737.00,12.00
170492,236.89,738.00,12.00
178276,245.75,738.00,13.00
186068,254.57,737.00,13.00
193868,255.00,737.00,13.00
201644,255.00,737.00,13.00
209428,255.00,737.00,13.00
217212,255.00,737.00,13.00
224988,255.00,737.00,13.00
232772,255.00,737.00,13.00
240548,255.00,737.00,13.00
248332,255.00,737.00,13.00
256108,255.00,737.00,13.00
263884,255.00,737.00,13.00
271668,255.00,737.00,13.00
279444,255.00,737.00,13.00
287228,255.00,737.00,14.00
295004,255.00,736.00,13.00
302780,255.00,737.00,13.00
310564,255.00,737.00,13.00
318340,255.00,737.00,13.00
326124,255.00,737.00,13.00
333900,255.00,737.00,13.00
341676,255.00,737.00,13.00
349460,255.00,737.00,13.00
357236,255.00,737.00,13.00
365020,255.00,737.00,13.00
372796,255.00,737.00,13.00
380572,255.00,737.00,13.00
388356,255.00,737.00,13.00
396132,255.00,737.00,13.00
403916,255.00,737.00,13.00
411692,255.00,737.00,13.00
419468,255.00,737.00,13.00
427252,255.00,737.00,13.00
435028,255.00,737.00,13.00
442812,255.00,737.00,13.00
450588,255.00,737.00,13.00
458364,255.00,737.00,13.00
466148,255.00,737.00,13.00
473924,255.00,737.00,13.00
481708,255.00,737.00,13.00
489484,255.00,737.00,13.00
497260,255.00,737.00,13.00
505044,255.00,737.00,13.00
512820,255.00,737.00,13.00
520604,255.00,737.00,13.00
528380,255.00,737.00,13.00
536164,255.00,737.00,13.00
543948,255.00,737.00,13.00
551732,255.00,737.00,13.00
559516,255.00,737.00,13.00
567304,255.00,737.00,13.00
575084,255.00,737.00,13.00
582868,255.00,737.00,13.00
590644,255.00,737.00,13.00
598428,255.00,737.00,13.00
606204,255.00,737.00,13.00
613988,255.00,737.00,13.00
621772,255.00,737.00,13.00
629548,255.00,737.00,13.00
637332,255.00,737.00,13.00
645116,255.00,737.00,13.00
652900,255.00,737.00,13.00
660684,255.00,737.00,13.00
668460,255.00,737.00,14.00
676244,255.00,736.00,13.00
684020,255.00,737.00,13.00
691804,255.00,737.00,13.00
699588,255.00,737.00,13.00
707364,255.00,737.00,13.00
715148,255.00,737.00,13.00
722932,255.00,737.00,13.00
730716,255.00,737.00,13.00
738500,255.00,737.00,13.00
746276,255.00,737.00,13.00
754060,255.00,737.00,13.00
761844,255.00,737.00,13.00
769628,255.00,737.00,13.00
777412,255.00,737.00,13.00
785196,255.00,737.00,13.00
792980,255.00,737.00,13.00
800764,255.00,737.00,13.00
808548,255.00,737.00,13.00
816332,255.00,737.00,13.00
824108,255.00,737.00,13.00
831892,255.00,737.00,13.00
839676,255.00,737.00,13.00
847460,255.00,737.00,14.00
855244,255.00,736.00,13.00
863020,255.00,737.00,13.00
870804,255.00,737.00,13.00
878580,255.00,737.00,13.00
886364,255.00,737.00,13.00
894148,255.00,737.00,13.00
901932,255.00,737.00,13.00
909716,255.00,737.00,13.00
917492,255.00,737.00,13.00
925276,255.00,737.00,13.00
933060,255.00,737.00,13.00
940844,255.00,737.00,13.00
948628,255.00,737.00,13.00
956404,255.00,737.00,13.00
964188,255.00,737.00,13.00
971972,255.00,737.00,13.00
979756,255.00,737.00,13.00
987540,255.00,737.00,13.00
995316,255.00,737.00,13.00
1003100,255.00,737.00,13.00
1010940,255.00,737.00,13.00
1018772,255.00,737.00,13.00
1026612,255.00,737.00,13.00
1034452,255.00,737.00,13.00
1042284,255.00,737.00,13.00
1050124,255.00,737.00,13.00
1057964,255.00,737.00,13.00
1065796,255.00,737.00,13.00
1073636,255.00,737.00,13.00
1081476,255.00,737.00,13.00
1089308,255.00,737.00,13.00
1097148,255.00,737.00,13.00
1104980,255.00,737.00,13.00
1112812,255.00,737.00,13.00
1120652,255.00,737.00,13.00
1128484,255.00,737.00,13.00
1136316,255.00,737.00,13.00
1144156,255.00,737.00,13.00
1151988,255.00,737.00,13.00
1159828,255.00,737.00,13.00
1167668,255.00,737.00,13.00
1175500,255.00,737.00,13.00
1183340,255.00,737.00,13.00
1191180,255.00,737.00,13.00
1199012,255.00,737.00,14.00
1206852,255.00,736.00,13.00
1214692,255.00,737.00,13.00
1222524,255.00,737.00,13.00
1230364,255.00,737.00,13.00
1238204,255.00,737.00,13.00
1246036,255.00,737.00,13.00
1253876,255.00,737.00,13.00
1261716,255.00,737.00,13.00
1269548,255.00,737.00,13.00
1277388,255.00,737.00,13.00
1285220,255.00,737.00,13.00
1293052,255.00,737.00,13.00
1300892,255.00,737.00,13.00
1308724,255.00,737.00,13.00
1316556,255.00,737.00,13.00
1324396,255.00,737.00,13.00
1332232,255.00,737.00,13.00
1340068,255.00,737.00,13.00
1347908,255.00,737.00,13.00
1355740,255.00,737.00,13.00
1363580,255.00,737.00,13.00
1371420,255.00,737.00,13.00
1379252,255.00,737.00,13.00
1387092,255.00,737.00,13.00
1394932,255.00,737.00,13.00
1402764,255.00,737.00,13.00
1410604,255.00,737.00,13.00
1418444,255.00,737.00,13.00
1426276,255.00,737.00,13.00
1434116,255.00,737.00,13.00
1441956,255.00,737.00,13.00
1449788,255.00,737.00,13.00
1457628,255.00,737.00,13.00
1465468,255.00,737.00,13.00
1473300,255.00,737.00,13.00
1481140,255.00,737.00,13.00
1488972,255.00,737.00,13.00
1496804,255.00,737.00,13.00
1504644,255.00,737.00,13.00
1512476,255.00,737.00,13.00
1520308,255.00,737.00,14.00
1528148,255.00,736.00,13.00
1535980,255.00,737.00,13.00
1543820,255.00,737.00,13.00
1551660,255.00,737.00,13.00
1559492,255.00,737.00,13.00
1567332,255.00,737.00,13.00
1575172,255.00,737.00,13.00
1583004,255.00,737.00,14.00
1590844,255.00,736.00,13.00
1598684,255.00,737.00,13.00
1606516,255.00,737.00,13.00
1614356,255.00,737.00,13.00
1622196,255.00,737.00,13.00
1630028,255.00,737.00,13.00
1637868,255.00,737.00,13.00
1645708,255.00,737.00,13.00
1653540,255.00,737.00,13.00
1661380,255.00,737.00,13.00
1669212,255.00,737.00,13.00
1677044,255.00,737.00,13.00
1684884,255.00,737.00,13.00
1692716,255.00,737.00,13.00
1700548,255.00,737.00,13.00
1708388,255.00,737.00,13.00
1716220,255.00,737.00,13.00
1724060,255.00,737.00,13.00
1731900,255.00,737.00,13.00
1739732,255.00,737.00,13.00
1747572,255.00,737.00,13.00
1755412,255.00,737.00,13.00
1763244,255.00,737.00,13.00
1771084,255.00,737.00,13.00
1778924,255.00,737.00,13.00
1786756,255.00,737.00,13.00
1794596,255.00,737.00,13.00
1802436,255.00,737.00,13.00
1810268,255.00,737.00,13.00
1818108,255.00,737.00,13.00
1825948,255.00,737.00,13.00
1833780,255.00,737.00,14.00
1841620,255.00,736.00,13.00
1849452,255.00,737.00,13.00
1857284,255.00,737.00,13.00
1865124,255.00,737.00,13.00
1872956,255.00,737.00,13.00
1880788,255.00,737.00,13.00
1888628,255.00,737.00,13.00
1896460,255.00,737.00,13.00
1904292,255.00,737.00,13.00
1912132,255.00,737.00,13.00
1919964,255.00,737.00,13.00
1927804,255.00,737.00,13.00
1935644,255.00,737.00,13.00
1943476,255.00,737.00,13.00
1951316,255.00,737.00,14.00
1959156,255.00,736.00,13.00
1966988,255.00,737.00,13.00
1974828,255.00,737.00,13.00
1982668,255.00,737.00,13.00
1990500,255.00,737.00,13.00
1998340,255.00,737.00,13.00
2006180,255.00,737.00,13.00
2014012,255.00,737.00,13.00
2021852,255.00,737.00,13.00
2029692,255.00,737.00,13.00
2037524,255.00,737.00,13.00
2045364,255.00,737.00,13.00
2053196,255.00,737.00,13.00
2061028,255.00,737.00,13.00
2068868,255.00,737.00,14.00
2076700,255.00,736.00,13.00
2084532,255.00,737.00,13.00
2092372,255.00,737.00,13.00
2100204,255.00,737.00,13.00
2108044,255.00,737.00,13.00
2115884,255.00,737.00,13.00
2123716,255.00,737.00,13.00
2131556,255.00,737.00,13.00
2139396,255.00,737.00,13.00
2147228,255.00,737.00,13.00
2155068,255.00,737.00,13.00
2162908,255.00,737.00,13.00
2170740,255.00,737.00,13.00
2178580,255.00,737.00,13.00
2186420,255.00,737.00,13.00
2194252,255.00,737.00,13.00
2202092,255.00,737.00,13.00
2209932,255.00,737.00,13.00
2217764,255.00,737.00,13.00
2225604,255.00,737.00,13.00
2233436,255.00,737.00,13.00
2241268,255.00,737.00,13.00
2249108,255.00,737.00,14.00
2256940,255.00,736.00,13.00
2264772,255.00,737.00,13.00
2272612,255.00,737.00,13.00
2280444,255.00,737.00,13.00
2288284,255.00,737.00,13.00
2296124,255.00,737.00,13.00
2303956,255.00,737.00,13.00
2311796,255.00,737.00,13.00
2319636,255.00,737.00,13.00
2327468,255.00,737.00,13.00
2335308,255.00,737.00,13.00
2343148,255.00,737.00,13.00
2350980,255.00,737.00,13.00
2358820,255.00,737.00,14.00
2366660,255.00,736.00,13.00
2374492,255.00,737.00,13.00
2382332,255.00,737.00,13.00
2390172,255.00,737.00,13.00
2398004,255.00,737.00,13.00
2405844,255.00,737.00,13.00
2413676,255.00,737.00,13.00
2421508,255.00,737.00,13.00
2429348,255.00,737.00,13.00
2437180,255.00,737.00,13.00
2445012,255.00,737.00,13.00
2452852,255.00,737.00,13.00
2460684,255.00,737.00,14.00
2468516,255.00,736.00,13.00
2476356,255.00,737.00,13.00
2484188,255.00,737.00,14.00
2492028,255.00,736.00,14.00
2499868,255.00,736.00,13.00
2507700,255.00,737.00,13.00
2515540,255.00,737.00,13.00
2523380,255.00,737.00,13.00
2531212,255.00,737.00,14.00
2539052,255.00,736.00,13.00
2546892,255.00,737.00,13.00
2554724,255.00,737.00,14.00
2562564,255.00,736.00,13.00
2570396,255.00,737.00,13.00
2578228,255.00,737.00,13.00
2586068,255.00,737.00,13.00
2593900,255.00,737.00,13.00
2601732,255.00,737.00,13.00
2609572,255.00,737.00,14.00
2617404,255.00,736.00,13.00
2625236,255.00,737.00,13.00
2633076,255.00,737.00,13.00
2640908,255.00,737.00,13.00
2648740,255.00,737.00,13.00
2656580,255.00,737.00,13.00
2664412,255.00,737.00,13.00
2672252,255.00,737.00,13.00
2680092,255.00,737.00,13.00
2687924,255.00,737.00,14.00
2695764,255.00,736.00,13.00
2703604,255.00,737.00,13.00
2711436,255.00,737.00,14.00
2719276,255.00,736.00,13.00
2727116,255.00,737.00,14.00
2734948,255.00,736.00,13.00
2742788,255.00,737.00,14.00
2750628,255.00,736.00,13.00
2758460,255.00,737.00,14.00
2766300,255.00,736.00,13.00
2774140,255.00,737.00,13.00
2781972,255.00,737.00,13.00
2789812,255.00,737.00,13.00
2797644,255.00,737.00,13.00
2805476,255.00,737.00,13.00
2813316,255.00,737.00,13.00
2821148,255.00,737.00,13.00
2828980,255.00,737.00,13.00
2836820,255.00,737.00,14.00
2844652,255.00,736.00,13.00
2852492,255.00,737.00,13.00
2860332,255.00,737.00,13.00
2868164,255.00,737.00,13.00
2876004,255.00,737.00,13.00
2883844,255.00,737.00,13.00
2891676,255.00,737.00,13.00
2899516,255.00,737.00,13.00
2907356,255.00,737.00,13.00
2915188,255.00,737.00,13.00
2923028,255.00,737.00,14.00
2930868,255.00,736.00,13.00
2938700,255.00,737.00,13.00
2946540,255.00,737.00,13.00
2954380,255.00,737.00,13.00
2962212,255.00,737.00,13.00
2970052,255.00,737.00,13.00
2977884,255.00,737.00,14.00
2985716,255.00,736.00,13.00
2993556,255.00,737.00,13.00


































































































































































































































































































































































































