Tempo,Entrada,Erro,Saida
544,56.96,750.00,0.00
8208,65.97,750.00,0.00
15768,74.98,750.00,0.00
23384,83.99,750.00,0.00
31000,93.01,750.00,0.00
38616,102.02,750.00,0.00
46292,111.03,750.00,6.00
53972,119.58,744.00,20.00
61708,127.46,730.00,41.00
69444,134.64,709.00,63.00
77184,141.49,687.00,89.00
84920,147.77,661.00,118.00
92720,153.50,632.00,147.00
100512,158.90,603.00,175.00
108352,164.01,575.00,204.00
116192,168.72,546.00,238.00
124044,172.70,512.00,266.00
131884,176.72,484.00,301.00
139732,179.88,449.00,331.00
147580,183.00,419.00,361.00
155412,185.75,389.00,390.00
163260,188.23,360.00,418.00
171108,190.42,332.00,445.00
178956,192.36,305.00,470.00
186812,194.13,280.00,490.00
194660,195.97,260.00,513.00
202508,197.35,237.00,534.00
210356,198.60,216.00,553.00
218196,199.76,197.00,572.00
226036,200.68,178.00,586.00
233884,201.76,164.00,603.00
241724,202.44,147.00,615.00
249572,203.29,135.00,628.00
257420,203.93,122.00,639.00
265260,204.56,111.00,651.00
273100,204.98,99.00,659.00
280892,205.56,91.00,667.00
288684,206.05,83.00,676.00
296476,206.36,74.00,683.00
304276,206.72,67.00,689.00
312068,207.07,61.00,694.00
319860,207.42,56.00,701.00
327652,207.56,49.00,707.00
335452,207.69,43.00,713.00
343252,207.75,37.00,717.00
351044,207.90,33.00,720.00
358836,208.06,30.00,721.00
366620,208.35,29.00,725.00
374412,208.39,25.00,725.00
382204,208.69,25.00,731.00
389996,208.54,19.00,731.00
397796,208.77,19.00,734.00
405596,208.77,16.00,736.00
413388,208.81,14.00,737.00
421188,208.90,13.00,738.00
428972,208.98,12.00,739.00
436764,209.05,11.00,740.00
444556,209.10,10.00,741.00
452348,209.15,9.00,742.00
460100,209.18,8.00,744.00
467836,209.13,6.00,746.00
475588,209.05,4.00,746.00
483324,209.09,4.00,749.00
491068,208.91,1.00,747.00
498812,209.08,3.00,749.00
506548,208.96,1.00,747.00
514292,209.13,3.00,747.00
522036,209.16,3.00,746.00
529780,209.27,4.00,747.00
537524,209.25,3.00,746.00
545276,209.36,4.00,748.00
553020,209.25,2.00,749.00
560764,209.20,1.00,751.00
568508,209.06,-1.00,751.00
576260,209.05,-1.00,753.00
584012,208.89,-3.00,752.00
591764,208.93,-2.00,750.00
599516,209.05,0.00,751.00
607228,208.98,-1.00,749.00
614988,209.12,1.00,749.00
622740,209.13,1.00,748.00
630484,209.22,2.00,748.00
638236,209.24,2.00,749.00
645980,209.19,1.00,749.00
653732,209.20,1.00,750.00
661460,209.14,0.00,751.00
669188,209.06,-1.00,751.00
676940,209.05,-1.00,752.00
684684,208.96,-2.00,751.00
692444,209.01,-1.00,751.00
700196,209.00,-1.00,751.00
707948,208.99,-1.00,749.00
715700,209.13,1.00,751.00
723452,208.99,-1.00,749.00
731204,209.13,1.00,750.00
738932,209.07,0.00,751.00
746652,208.99,-1.00,750.00
754396,209.05,0.00,751.00
762116,208.98,-1.00,750.00
769860,209.04,0.00,751.00
777580,208.97,-1.00,750.00
785324,209.03,0.00,751.00
793044,208.95,-1.00,750.00
800788,209.02,0.00,751.00
808500,208.94,-1.00,749.00
816260,209.08,1.00,752.00
823996,208.87,-2.00,750.00
831748,208.99,0.00,752.00
839460,208.84,-2.00,750.00
847204,208.97,0.00,751.00
854924,208.89,-1.00,750.00
862668,208.96,0.00,750.00
870372,208.96,0.00,749.00
878092,209.03,1.00,749.00
