Tempo,Entrada,Erro,Saida,SaidaFiltrada
600,221,200,0,15
8776,255,200,0,2
16704,255,200,41,0
24744,255,159,82,41
32832,255,118,191,82
40968,129,9,271,183
49056,0,-71,283,263
57112,0,-83,424,284
65168,0,-224,353,426
73272,0,-153,415,355
81376,0,-215,427,417
89480,0,-227,341,429
97584,0,-141,281,343
105688,0,-81,212,282
113792,0,-12,124,213
121880,72,76,163,129
130016,117,37,206,167
138216,30,-6,233,201
146328,0,-33,253,232
154432,0,-53,272,254
162528,0,-72,243,273
170632,0,-43,126,244
178720,38,74,114,129
186864,170,86,64,124
195008,237,136,37,69
203160,255,163,68,38
211312,255,132,111,68
219504,232,89,214,110
227704,74,-14,284,204
235872,0,-84,295,280
243984,0,-95,441,297
252088,0,-241,365,444
260248,0,-165,365,367
268392,0,-165,384,367
276544,0,-184,243,386
284688,0,-43,192,244
292776,0,8,169,193
300800,42,31,143,173
308936,94,57,158,147
317088,104,42,197,159
325288,45,3,210,194
333392,0,-10,161,208
341496,33,39,204,164
349640,35,-4,174,205
357752,24,26,159,174
365904,71,41,100,163
374056,152,100,79,106
382256,235,121,75,85
390408,255,125,87,77
398544,251,113,164,87
406744,154,36,258,158
414944,0,-58,318,249
423048,0,-118,433,320
431200,0,-233,487,436
439352,0,-287,351,490
447504,0,-151,348,353
455656,0,-148,337,350
463816,0,-137,258,339
471968,0,-58,196,259
480072,0,4,126,197
488096,86,74,173,132
496232,104,27,197,175
504432,30,3,211,193
512536,0,-11,206,210
520640,0,-6,177,207
528680,19,23,161,179
536824,66,39,156,165
544976,88,44,76,158
553064,181,124,64,83
561208,255,136,71,69
569352,255,129,109,71
577544,231,91,204,108
585736,87,-4,285,195
593840,0,-85,323,280
601952,0,-123,414,325
610112,0,-214,389,416
618272,0,-189,424,391
626432,0,-224,383,426
634592,0,-183,287,385
642752,0,-87,214,289
650856,0,-14,160,215
658952,30,40,126,163
667088,122,74,160,133
675288,119,40,159,160
683488,85,41,181,157
691632,62,19,236,180
699784,0,-36,257,233
707888,0,-57,255,258
715992,0,-55,220,256
724096,0,-20,177,221
732184,5,23,96,178
740208,138,104,58,106
748416,255,142,36,66
756568,255,164,69,36
764720,255,131,112,69
772920,230,88,189,111
781120,101,11,237,181
789320,0,-37,373,231
797424,0,-173,350,375
805584,0,-150,477,352
813744,0,-277,479,480
821912,0,-279,308,482
830072,0,-108,313,310
838224,0,-113,235,315
846384,0,-35,192,236
854480,0,8,122,193
862504,94,78,150,129
870648,134,50,194,153
878848,57,6,217,190
886952,0,-17,231,214
895056,0,-31,164,232
903144,8,36,239,165
911232,0,-39,149,240
919336,17,51,138,151
927480,120,62,79,146
935624,196,121,35,84
943776,255,165,41,39
951928,255,159,90,41
960080,255,110,182,90
968272,131,18,240,174
976472,0,-40,333,232
984576,0,-133,375,335
992736,0,-175,449,377
1000896,0,-249,421,452
1009104,0,-221,317,423
1017312,0,-117,339,319
1025528,0,-139,249,341
1033728,0,-49,181,250
1041880,0,19,121,182
1050008,106,79,153,129
1058248,132,47,124,155
1066496,131,76,160,124
1074744,121,40,237,160
1082992,0,-37,275,230
1091152,0,-75,253,276
1099304,0,-53,302,254
1107456,0,-102,273,304
1115664,0,-73,191,274
1123824,0,9,104,192
1131904,115,96,55,112
1140096,255,145,45,65
1148296,255,155,81,45
1156496,255,119,145,81
1164744,181,55,195,140
1172992,61,5,249,188
1181144,0,-49,299,246
1189304,0,-99,394,301
1197464,0,-194,464,396
1205680,0,-264,426,467
1213888,0,-226,286,428
1222104,0,-86,194,288
1230256,0,6,161,195
1238336,49,39,150,165
1246528,94,50,123,154
1254728,135,77,154,126
1262984,128,46,204,154
1271240,42,-4,259,199
1279408,0,-59,301,257
1287576,0,-101,307,303
1295784,0,-107,248,309
1303992,0,-48,197,249
1312144,0,3,131,198
1320224,79,69,58,137
1328360,227,142,19,68
1336560,255,181,26,21
1344760,255,174,107,26
1353016,255,93,148,107
1361264,151,52,235,141
1369512,13,-35,267,227
1377728,0,-67,409,267
1385896,0,-209,342,411
1394104,0,-142,417,344
1402312,0,-217,426,419
1410520,0,-226,311,428
1418728,0,-111,228,313
1426936,0,-28,175,229
1435088,0,25,147,176
1443216,84,53,164,153
1451408,93,36,153,165
1459608,88,47,177,153
1467808,73,23,215,177
1476008,6,-15,229,211
1484176,0,-29,234,230
1492336,0,-34,193,235
1500488,0,7,136,194
1508568,78,64,98,142
1516712,177,102,40,105
1524968,255,160,24,45
1533168,255,176,63,24
1541376,255,137,152,63
1549624,191,48,159,148
1557880,94,41,282,153
1566080,0,-82,388,277
1574248,0,-188,309,390
1582464,0,-109,411,311
1590672,0,-211,437,413
1598880,0,-237,382,440
1607096,0,-182,293,384
1615304,0,-93,210,295
1623456,0,-10,167,211
1631600,26,33,116,169
1639792,126,84,165,123
1648040,123,35,150,166
1656288,90,50,187,148
1664488,65,13,203,186
1672688,9,-3,224,200
1680800,0,-24,211,224
1688960,0,-11,215,212
1697112,0,-15,165,216
1705256,23,35,131,167
1713448,111,69,53,138
1721648,232,147,35,61
1729848,255,165,57,36
1738048,255,143,125,57
1746296,227,75,202,124
1754544,73,-2,263,192
1762712,0,-63,354,259
1770872,0,-154,351,356
1779088,0,-151,453,353
1787304,0,-253,430,456
1795512,0,-230,304,433
1803720,0,-104,189,306
1811928,0,11,169,190
1820064,45,31,140,173
1828256,97,60,101,144
1836456,170,99,141,106
1844704,165,59,189,141
1852952,71,11,252,183
1861160,0,-52,308,248
1869320,0,-108,357,310
1877536,0,-157,269,359
1885744,0,-69,277,270
1893896,0,-77,158,278
1902056,0,42,100,159
1910184,153,100,33,111
1918432,255,167,22,40
1926632,255,178,73,22
1934832,255,127,141,73
1943080,194,59,238,137
1951328,17,-38,311,227
1959544,0,-111,306,311
1967760,0,-106,444,308
1975968,0,-244,288,447
1984184,0,-88,344,290
1992336,0,-144,349,346
2000544,0,-149,255,351
2008752,0,-55,179,256
2016904,0,21,105,180
2025032,126,95,137,114
2033280,166,63,138,140
2041536,132,62,174,136
2049792,91,26,243,172
2057992,0,-43,292,238
2066152,0,-92,277,294
2074312,0,-77,242,278
2082472,0,-42,274,243
2090624,0,-74,189,275
2098776,0,11,85,190
2106856,138,115,29,95
2115056,255,171,11,37
2123256,255,189,52,11
2131464,255,148,124,52
2139712,234,76,199,123
2147960,78,1,252,189
2156112,0,-52,353,248
2164272,0,-153,372,355
2172480,0,-172,459,374
2180696,0,-259,431,462
2188904,0,-231,306,434
2197112,0,-106,209,308
2205320,0,-9,191,210
2213408,0,9,133,192
2221488,83,67,129,139
2229680,146,71,119,134
2237936,161,81,175,120
2246192,109,25,182,172
2254448,45,18,287,178
2262648,0,-87,348,285
2270808,0,-148,306,350
2279016,0,-106,282,308
2287224,0,-82,152,283
