Tempo,Entrada,Erro,Saida
496,25421,200,0
8496,-14712,200,0
16400,-14712,200,0
24360,-14712,200,16
32384,-16746,184,88
40408,-27929,112,141
48488,21725,59,234
56496,3172,-34,308
64464,-18046,-108,324
72560,-29479,-124,439
80656,19408,-239,449
88736,3530,-249,427
96760,5056,-227,439
104784,6325,-239,468
112864,1115,-268,557
120944,-13881,-357,618
129088,32597,-418,540
137220,-30773,-340,725
145368,21156,-525,620
153504,11004,-420,517
161640,-28103,-317,630
169792,-29384,-430,574
177944,28917,-374,685
186080,21922,-485,567
194216,22821,-367,669
202352,24844,-469,481
210488,-29751,-281,656
218640,-28116,-456,598
226792,22564,-398,622
234928,26881,-422,476
243064,-23146,-276,645
251216,-26082,-445,581
259368,26122,-381,538
267504,-25819,-338,485
275656,-13621,-285,439
283808,-1042,-239,472
291904,607,-272,496
299936,-6636,-296,533
308040,-14387,-333,555
316192,-21883,-355,485
324344,-15780,-285,530
332496,-12608,-330,574
340648,-23917,-374,582
348800,-30522,-382,528
356952,-24675,-328,439
365104,-6503,-239,636
373200,-20239,-436,541
381352,32350,-341,646
389488,31070,-446,581
397624,25995,-381,685
405760,21033,-485,521
413896,28668,-321,645
422032,-31798,-445,532
430176,32351,-332,648
438304,31959,-448,608
446440,22310,-408,670
454576,19510,-470,551
462712,26760,-351,692
470848,23953,-492,601
478984,17611,-401,630
487120,25483,-430,486
495256,-25433,-286,640
503408,-26717,-440,541
511560,31842,-341,654
519696,30054,-454,573
527832,25996,-373,684
535968,22176,-484,545
544104,25745,-345,638
552240,31579,-438,542
560376,31969,-342,652
568512,30181,-452,613
576648,21166,-413,627
584776,24340,-427,625
592912,22816,-425,704
601040,13029,-504,578
609176,19010,-378,658
617312,24845,-458,498
625448,-30515,-298,646
633600,-29004,-446,517
641752,-31406,-317,604
649904,-26079,-404,611
658056,27517,-411,441
666192,-17300,-241,636
674344,-20493,-436,499
682496,-27848,-299,549
690648,-16802,-349,596
698800,-29126,-396,575
706952,-32427,-375,435
715104,-11965,-235,611
723256,-16553,-411,567
731408,32221,-367,511
739544,-20609,-311,462
747696,-7268,-262,458
755792,-535,-258,370
763832,11158,-170,545
771968,92,-345,626
779952,-32432,-426,570
788104,29934,-370,553
796240,-26328,-353,610
804392,-31414,-410,534
812544,-28994,-334,617
820696,-29890,-417,572
828848,30823,-372,459
836984,-14634,-259,606
845136,-18966,-406,600
853288,28661,-400,502
861424,-23656,-302,608
869576,-24682,-408,625
877728,25229,-425,701
885864,13410,-501,598
893992,16849,-398,670
902128,20780,-470,542
910264,27904,-342,552
918400,-22645,-352,653
926552,28783,-453,561
934688,27648,-361,483
942824,-16288,-283,613
950976,-22904,-413,493
959128,-24164,-293,487
967280,-8159,-287,528
975384,-12608,-328,556
983536,-21375,-356,566
991688,-26202,-366,558
999840,-26456,-358,504
1007992,-18576,-304,432
1016192,-2565,-232,615
1024344,-16680,-415,591
1032544,28662,-391,583
1040736,32727,-383,654
1048928,24719,-454,547
1057120,29301,-347,610
1065312,-30652,-410,673
1073520,18874,-473,725
1081712,4263,-525,662
1089848,5665,-462,592
1097984,22565,-392,682
1106176,20017,-482,552
1114368,25109,-352,645
1122560,29800,-445,508
1130752,-30135,-308,418
1138952,-1294,-218,546
1147104,-6132,-346,546
1155248,-22390,-346,556
1163448,-23661,-356,572
1171656,-26965,-372,513
1179864,-21498,-313,513
1188064,-14004,-313,579
1196272,-22393,-379,576
1204480,-30395,-376,510
1212688,-21625,-310,464
1220896,-7395,-264,436
1229040,2007,-236,426
1237168,6834,-226,428
1245304,7850,-228,432
1253432,7088,-232,407
1261560,9758,-207,472
1269696,4671,-272,611
1277832,-21253,-411,437
1286032,-16792,-237,565
1294232,-10960,-365,591
1302432,-30523,-391,546
1310640,-28106,-346,438
1318840,-8663,-238,624
1326992,-18587,-424,543
1335192,-31916,-343,509
1343400,-17306,-309,529
1351608,-15530,-329,531
1359816,-18324,-331,522
1368024,-17434,-322,518
1376232,-15783,-318,520
1384440,-15529,-320,544
1392648,-18833,-344,557
1400848,-23534,-357,537
1409048,-22643,-337,464
1417248,-10824,-264,401
1425440,6456,-201,378
1433568,17381,-178,394
1441752,18269,-194,396
1449936,15982,-196,401
1458120,15093,-201,586
1466312,-9057,-386,595
1474464,31837,-395,495
1482656,-22132,-295,590
1490856,-21505,-390,621
1499056,28024,-421,459
1507248,-20858,-259,660
1515448,-25830,-460,578
1523656,24599,-378,660
1531848,24591,-460,466
1540040,-26702,-266,617
1548240,-21253,-417,473
1556448,-22130,-273,483
1564656,-5110,-283,543
1572808,-14007,-343,616
1581016,-30907,-416,534
1589224,-29756,-334,1023
1597480,-15959,-823,581
1605680,-21890,-381,470
1613880,-17176,-270,507
1622080,-7780,-307,590
1630224,-23029,-390,608
1638424,29677,-408,469
1646608,-20478,-269,650
1654800,-25829,-450,576
1663000,26123,-376,627
1671184,29040,-427,495
1679368,-26196,-295,406
1687560,1883,-206,521
1695688,-1430,-321,431
1703832,-4598,-231,549
1711984,-8164,-349,563
1720136,-24932,-363,550
1728344,-25058,-350,520
1736552,-19593,-320,495
1744760,-12605,-295,386
1752960,4425,-186,346
1761096,23354,-146,386
1769280,23350,-186,419
1777464,14075,-219,429
1785648,8612,-229,423
1793776,8105,-223,457
1801912,4545,-257,483
1810056,-3078,-283,450
1818208,-2186,-250,1023
1826408,-5290,-823,620
1834560,-26847,-420,654
1842760,20019,-454,570
1850952,26377,-370,629
1859144,29548,-429,570
1867336,29553,-370,508
1875528,-20609,-308,487
1883736,-10064,-287,501
1891944,-9176,-301,522
1900096,-13624,-322,537
1908304,-18198,-337,481
1916512,-12985,-281,519
1924720,-10702,-319,595
1932928,-25189,-395,584
1941128,32092,-384,446
1949312,-14506,-246,1023
1957568,-4782,-823,574
1965720,-21000,-374,545
1973928,-25820,-345,472
1982136,-12857,-272,457
1990336,-1678,-257,506
1998488,-6001,-306,588
2006640,-22648,-388,600
2014840,30947,-400,484
2023032,-21368,-284,681
2031232,-31674,-481,611
2039440,17737,-411,537
2047632,-29502,-337,628
2055840,-31670,-428,544
2064040,-32551,-344,432
2072240,-7646,-232,606
2080392,-15537,-406,580
2088592,31203,-380,534
2096784,-25183,-334,592
2104992,-26713,-392,580
2113192,-32555,-380,459
2121400,-15650,-259,651
2129600,-24686,-451,552
2137808,29046,-352,683
2146000,24970,-483,497
2154192,31973,-297,639
2162384,-27987,-439,681
2170592,14174,-481,496
2178784,32354,-296,675
2186976,-32436,-475,677
2195184,10110,-477,515
2203376,30447,-315,665
2211568,31958,-465,566
2219760,25489,-366,650
2227952,27387,-450,478
2236144,-26957,-278,676
2244352,-30277,-476,713
2252560,5407,-513,503
2260696,27400,-303,648
2268888,-29893,-448,662
2277088,15446,-462,694
2285272,9600,-494,543
2293408,24729,-343,603
2301600,-29254,-403,576
2309800,32093,-376,476
2317992,-17303,-276,636
2326192,-24938,-436,611
2334392,23452,-411,591
2342584,29170,-391,621
2350776,27897,-421,482
2358968,-23782,-282,661
2367168,-28878,-461,580
2375376,24217,-380,673
2383568,22685,-473,1023
2391808,31921,-823,562
2400000,-19475,-362,628
2408208,30691,-428,595
2416400,26502,-395,690
2424592,18619,-490,419
2432784,-24538,-219,695
2440992,-25198,-495,730
2449200,833,-530,645
2457288,7191,-445,627
2465424,20276,-427,530
2473616,-30645,-330,600
2481824,-27222,-400,506
2490024,-24165,-306,543
2498232,-16928,-343,562
2506440,-24043,-362,570
2514648,-27473,-370,525
2522856,-22769,-325,480
2531064,-11334,-280,623
2539272,-23794,-423,534
2547480,-30645,-334,595
2555688,-27094,-395,570
2563888,-31665,-370,486
2572088,-17812,-286,419
2580288,1373,-219,392
2588424,13315,-192,403
2596608,15347,-203,426
2604792,11026,-226,452
2612976,4800,-252,481
2621112,-2189,-281,502
2629264,-8541,-302,507
2637416,-11844,-307,473
2645624,-8158,-273,433
2653768,1245,-233,661
2661904,-22654,-461,598
2670112,21929,-398,530
2678304,-26961,-330,553
2686512,-21248,-353,622
2694720,32597,-422,536
2702912,-30772,-336,628
2711120,-31543,-428,599
2719320,25994,-399,481
2727512,-20860,-281,594
2735712,-20235,-394,611
2743920,28787,-411,512
2752112,-26325,-312,652
2760320,-31545,-452,652
2768512,16209,-452,590
2776704,24089,-390,660
2784896,23067,-460,542
2793088,29174,-342,594
2801280,-27983,-394,587
2809488,31838,-387,523
2817680,-24674,-323,433
2825880,-5106,-233,642
2834032,-20239,-442,537
2842240,32096,-337,635
2850432,-32559,-435,547
2858640,31714,-347,428
2866824,-7519,-228,619
2874976,-16681,-419,644
2883176,21417,-444,597
2891368,24216,-397,716
2899560,15060,-516,689
2907744,3377,-489,551
2915880,24347,-351,691
2924072,24080,-491,701
2932264,5027,-501,482
2940400,31593,-282,640
2948592,-26209,-440,499
2956800,-28356,-299,588
2965000,-21759,-388,600
2973208,30947,-400,483
2981400,-21241,-283,601
2989600,-21379,-401,599
2997808,29423,-399,475

